scheme,dType,code
qremote,BOOL,BLUE_24
qremote,BYTE,BLUE_24
qremote,SHORT,BLUE_24
qremote,INT,BLUE_24
qremote,LONG,BLUE_24
qremote,REAL,BLUE_24
qremote,FLOAT,BLUE_24
qremote,STRING,PINK_9
qremote,SYMBOL,WHITE_3
qremote,SPECIAL,PINK_9
qremote,TIMESPAN,GREY_3
qremote,MONTH,GREY_3
qremote,DATE,GREY_3
qremote,DATETIME,GREY_3
qremote,TIMESTAMP,GREY_3
qremote,MINUTE,GREY_3
qremote,SECOND,GREY_3
qremote,TIME,GREY_3
qremote,QSQL,YELLOW_21
qremote,OPERATORS,YELLOW_28
qremote,TABLECHARS,GREEN_39
qremote,SPLITS,YELLOW_10
qremote,NSPACE,GREEN_39
qremote,KEYWORDS,YELLOW_21
allwhite,BOOL,WHITE_3
allwhite,BYTE,WHITE_3
allwhite,SHORT,WHITE_3
allwhite,INT,WHITE_3
allwhite,LONG,WHITE_3
allwhite,REAL,WHITE_3
allwhite,FLOAT,WHITE_3
allwhite,STRING,WHITE_3
allwhite,SYMBOL,WHITE_3
allwhite,SPECIAL,WHITE_3
allwhite,TIMESPAN,WHITE_3
allwhite,MONTH,WHITE_3
allwhite,DATE,WHITE_3
allwhite,DATETIME,WHITE_3
allwhite,TIMESTAMP,WHITE_3
allwhite,MINUTE,WHITE_3
allwhite,SECOND,WHITE_3
allwhite,TIME,WHITE_3
allwhite,QSQL,WHITE_3
allwhite,OPERATORS,WHITE_3
allwhite,TABLECHARS,WHITE_3
allwhite,SPLITS,WHITE_3
allwhite,NSPACE,WHITE_3
allwhite,KEYWORDS,WHITE_3
obsidian,BOOL,BLUE_29
obsidian,BYTE,BLUE_29
obsidian,SHORT,BLUE_29
obsidian,INT,BLUE_29
obsidian,LONG,BLUE_29
obsidian,REAL,BLUE_29
obsidian,FLOAT,BLUE_29
obsidian,STRING,BLUE_26
obsidian,SYMBOL,WHITE_3
obsidian,SPECIAL,GREEN_45
obsidian,TIMESPAN,RED_9
obsidian,MONTH,RED_9
obsidian,DATE,RED_9
obsidian,DATETIME,RED_9
obsidian,TIMESTAMP,RED_9
obsidian,MINUTE,RED_9
obsidian,SECOND,RED_9
obsidian,TIME,RED_9
obsidian,QSQL,GREEN_53
obsidian,OPERATORS,YELLOW_28
obsidian,TABLECHARS,YELLOW_28
obsidian,SPLITS,YELLOW_23
obsidian,NSPACE,ORANGE_4
obsidian,KEYWORDS,GREEN_53
zenburn,BOOL,BLUE_28
zenburn,BYTE,BLUE_28
zenburn,SHORT,BLUE_28
zenburn,INT,BLUE_28
zenburn,LONG,BLUE_28
zenburn,REAL,BLUE_28
zenburn,FLOAT,BLUE_28
zenburn,STRING,PINK_12
zenburn,SYMBOL,WHITE_3
zenburn,SPECIAL,PINK_12
zenburn,TIMESPAN,GREEN_40
zenburn,MONTH,GREEN_40
zenburn,DATE,GREEN_40
zenburn,DATETIME,GREEN_40
zenburn,TIMESTAMP,GREEN_40
zenburn,MINUTE,GREEN_40
zenburn,SECOND,GREEN_40
zenburn,TIME,GREEN_40
zenburn,QSQL,YELLOW_15
zenburn,OPERATORS,YELLOW_11
zenburn,TABLECHARS,YELLOW_15
zenburn,SPLITS,YELLOW_11
zenburn,NSPACE,YELLOW_22
zenburn,KEYWORDS,YELLOW_15
solarized_light,BOOL,PURPLE_10
solarized_light,BYTE,PURPLE_10
solarized_light,SHORT,PURPLE_10
solarized_light,INT,PURPLE_10
solarized_light,LONG,PURPLE_10
solarized_light,REAL,PURPLE_10
solarized_light,FLOAT,PURPLE_10
solarized_light,STRING,BLUE_15
solarized_light,SYMBOL,GREY_15
solarized_light,SPECIAL,BLUE_15
solarized_light,TIMESPAN,RED_6
solarized_light,MONTH,RED_6
solarized_light,DATE,RED_6
solarized_light,DATETIME,RED_6
solarized_light,TIMESTAMP,RED_6
solarized_light,MINUTE,RED_6
solarized_light,SECOND,RED_6
solarized_light,TIME,RED_6
solarized_light,QSQL,GREEN_22
solarized_light,OPERATORS,PINK_1
solarized_light,TABLECHARS,GREY_15
solarized_light,SPLITS,PINK_1
solarized_light,NSPACE,GREEN_9
solarized_light,KEYWORDS,GREEN_22
solarized,BOOL,PURPLE_11
solarized,BYTE,PURPLE_11
solarized,SHORT,PURPLE_11
solarized,INT,PURPLE_11
solarized,LONG,PURPLE_11
solarized,REAL,PURPLE_11
solarized,FLOAT,PURPLE_11
solarized,STRING,BLUE_15
solarized,SYMBOL,WHITE_6
solarized,SPECIAL,BLUE_15
solarized,TIMESPAN,RED_6
solarized,MONTH,RED_6
solarized,DATE,RED_6
solarized,DATETIME,RED_6
solarized,TIMESTAMP,RED_6
solarized,MINUTE,RED_6
solarized,SECOND,RED_6
solarized,TIME,RED_6
solarized,QSQL,GREEN_22
solarized,OPERATORS,PINK_10
solarized,TABLECHARS,WHITE_6
solarized,SPLITS,PINK_10
solarized,NSPACE,GREEN_9
solarized,KEYWORDS,GREEN_22
